Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Sentiment Only (LR),30851.079141178205,17932.117931358203,3.1995363305893862,-181.07270339815247,0.9399387443798257,0.4887640449438202,lig_nex1
Hybrid RF+NSI,31368.14279818552,18859.943780944966,3.3851315561913617,1913.480030061609,0.9379086217288198,0.47191011235955055,lig_nex1
Benchmark,2019.617475811534,1540.782122905028,2.837316731940569,-12.849162011173185,0.9301704321122374,0.5337078651685393,snt_dynamics
ARIMA,26332.309184568105,24992.205093210934,45.065415248339306,-24992.205093210934,-10.870773161825792,0.5337078651685393,snt_dynamics
Existing RF,2145.2971684539857,1687.6575352958248,3.1270772874263777,298.8875621886093,0.9212091050120574,0.43820224719101125,snt_dynamics
Extended RF,2079.8896674684547,1591.7923932963815,2.92005144096949,-160.17686787195774,0.9259403407646672,0.48314606741573035,snt_dynamics
Extended ANN,2310.792171690051,1785.799797220603,3.2795117406012797,752.6154600708178,0.9085838578278397,0.4606741573033708,snt_dynamics
Sentiment Only (LR),2023.0768786931233,1548.6314649884455,2.8569531699725035,82.2164454575168,0.9299310050893403,0.46629213483146065,snt_dynamics
Hybrid RF+NSI,2078.7681427778475,1599.0533400653828,2.935257793046976,-88.939296647197,0.926020188598754,0.4550561797752809,snt_dynamics
Benchmark,386.7120477372906,201.9943820224719,3.3235532541116295,-42.2752808988764,0.9468784836036714,0.5819209039548022,firstec
ARIMA,2377.787180145091,1684.7146533789614,27.918738408496978,-1684.7146533789614,-1.0083574953069578,0.5819209039548022,firstec
Existing RF,394.21582545353164,215.74163435983922,3.55805888381104,-47.80720508916075,0.9447969379352803,0.5254237288135594,firstec
Extended RF,403.296980908543,223.38939669804995,3.702105085940257,-32.414021033848485,0.9422243286381824,0.4915254237288136,firstec
Extended ANN,389.40442731377976,203.07682466306042,3.3358450773645574,-44.39955912614137,0.9461362198577458,0.4745762711864407,firstec
Sentiment Only (LR),385.93956304548414,202.94703933798712,3.344926710396518,-36.579503066575406,0.9470904996127164,0.4180790960451977,firstec
Hybrid RF+NSI,400.728508462629,223.32197088311364,3.7233463464737375,-24.4776253222388,0.9429578956399078,0.4632768361581921,firstec
Benchmark,2.699527807532758,1.9412905785345256,1.0701673157025677,-0.26430109495757714,0.9776989958694571,0.4594594594594595,rtx
ARIMA,56.08630081600067,53.09327976678007,28.963627361148458,-53.09327976678007,-8.626366695903734,0.4594594594594595,rtx
Existing RF,2.8102982844948126,2.1135448570734217,1.1708050465757078,-0.4160562040210975,0.9758312803637609,0.42702702702702705,rtx
