Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Benchmark,0.6088856053401346,0.4380645008497341,5.999566922212994,-0.0014516128006801811,0.8987627104335009,0.5297297297297298,draganfly
ARIMA,9.030983950689846,8.348954416068866,117.00162462764607,-8.348954416068866,-21.270975294436933,0.5297297297297298,draganfly
Existing RF,1.6549239527017179,1.1885986567633127,15.112759266554306,-0.9718473174302809,0.25213160752152486,0.5459459459459459,draganfly
Extended RF,1.5993009515628247,1.2734451656123642,16.8105599966263,-0.8389397986281303,0.3015593843452653,0.5081081081081081,draganfly
Extended ANN,10.7967934084739,10.434616390415417,148.3195958356429,-10.434616390415417,-30.83161533993417,0.5297297297297298,draganfly
Benchmark,3.8808267028469428,3.0049466368972597,1.6464055694209154,-0.0964516260290657,0.7192711837307987,0.4864864864864865,nvidia
ARIMA,38.54455723916262,37.417479986407535,20.422248096807703,-37.417479986407535,-26.69265640549975,0.4864864864864865,nvidia
Existing RF,53.02124596768579,52.36006727936448,28.580855658104376,-52.36006727936448,-51.40085256046258,0.4864864864864865,nvidia
Extended RF,56.479705855665905,55.94282527410856,30.57162120123235,-55.94282527410856,-58.45978673206662,0.4864864864864865,nvidia
Extended ANN,8.657921201957175,7.525741249002435,4.084817235002693,-7.1152486493510585,-0.39722308471563283,0.5081081081081081,nvidia
Benchmark,2.719466086277121,1.45806457150367,6.529012228855283,-0.3444085851792366,0.9754389671500077,0.43783783783783786,axt
ARIMA,22.930656966958455,15.039301001256511,64.32806346380522,-14.990268714325403,-0.7462737533410331,0.4486486486486487,axt
